system   D            wsystem.c:583  maybe_parent_dir                 [   0.00263] Also searching C:\Anders\git\Respository\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00509] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00523] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.08098] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.35109] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.35129] Allegro version: 5.0.7
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [ 131.16790] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [ 131.19582] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19588] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19594] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19601] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19606] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19626] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19633] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19641] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19649] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19658] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19663] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19670] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19675] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19682] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19688] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19694] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19700] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19707] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19712] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19719] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19724] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19731] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19737] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19744] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19750] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19756] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19762] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19768] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19774] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19781] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19786] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19793] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19798] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19805] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19811] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [ 131.19818] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [ 131.19824] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [ 131.19831] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [ 131.19837] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [ 131.19844] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1838 d3d_create_display_internals     [ 131.19856] Trying format 0 of 140.
d3d      I         d3d_disp.cpp:1516 d3d_display_thread_proc          [ 131.20065] Chose a display format: 23
d3d      I         d3d_disp.cpp:1585 d3d_display_thread_proc          [ 131.20090] Normal window.
d3d      I         d3d_disp.cpp:992  d3d_create_device                [ 131.33256] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1017 d3d_create_device                [ 131.33583] trying D3DCREATE_SOFTWARE_VERTEXPROCESSING
d3d      D         d3d_disp.cpp:1057 d3d_create_device                [ 131.36734] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1065 d3d_create_device                [ 131.36745] Success
d3d      D         d3d_disp.cpp:1861 d3d_create_display_internals     [ 131.36755] Resumed after wait.
d3d      I         d3d_disp.cpp:1886 d3d_create_display_internals     [ 131.36769] Format 0 succeeded.
dtor     D               dtor.c:184  _al_register_destructor          [ 131.37214] added dtor for object 018A15D8, func 52BF24AA
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37884] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37896] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37904] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37911] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37918] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37926] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37933] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37941] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 131.37970] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 131.37983] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 131.37992] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 131.38001] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 131.38010] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [ 131.43608] added dtor for object 018A8A68, func 52BF256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 131.63118] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 131.63132] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72686] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72700] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72708] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72715] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72723] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72731] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72741] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72752] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 132.72759] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 132.72767] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 132.72775] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 132.72783] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 132.72791] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [ 132.75679] added dtor for object 018A8C48, func 52BF256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 132.92595] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 132.92610] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10491] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10499] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10505] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10510] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10515] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10521] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10527] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10532] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.10537] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 133.10543] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 133.10550] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 133.10557] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 133.10562] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [ 133.10816] added dtor for object 018A8DE8, func 52BF256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.11842] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.11853] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13144] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13155] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13161] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13166] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13172] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13177] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13182] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13187] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.13193] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 133.13198] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 133.13204] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 133.13210] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 133.13215] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [ 133.14624] added dtor for object 018CFE38, func 52BF256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.20027] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.20038] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25735] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25785] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25798] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25806] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25814] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25822] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25830] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25838] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.25846] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 133.25855] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 133.25863] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 133.25872] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 133.25880] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [ 133.26000] added dtor for object 018CFF48, func 52BF256D
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.26568] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.26582] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26820] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26831] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26838] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26846] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26861] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26868] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26875] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26883] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.26891] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 133.26898] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 133.26906] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 133.26914] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 133.26922] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [ 133.29460] added dtor for object 018A7A28, func 52BF256D
font     D                ttf.c:790  al_load_ttf_font_stretch_f       [ 133.30180] Font arial.ttf loaded with pixel size 0 x 16.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [ 133.30189]     ascent=14.0, descent=-3.0, height=18.0
dtor     D               dtor.c:184  _al_register_destructor          [ 133.30200] added dtor for object 018F3B38, func 52BF1B40
font     D                ttf.c:790  al_load_ttf_font_stretch_f       [ 133.30732] Font arial.ttf loaded with pixel size 0 x 36.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [ 133.30741]     ascent=33.0, descent=-8.0, height=41.0
dtor     D               dtor.c:184  _al_register_destructor          [ 133.30753] added dtor for object 01915CE8, func 52BF1B40
dtor     D               dtor.c:184  _al_register_destructor          [ 133.30766] added dtor for object 01915DF0, func 52BF2775
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35684] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35692] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35697] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35703] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35708] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35713] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35719] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35724] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [ 133.35729] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [ 133.35735] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [ 133.35740] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [ 133.35746] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [ 133.35753] Chose bitmap format 9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.40252] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.40265] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.40853] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.40866] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.41448] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.41462] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.41966] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.41977] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.42877] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.42887] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.43363] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.43373] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.43831] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.43841] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.44286] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.44299] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.44945] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.44959] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.45401] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.45412] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.45941] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.45956] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.46398] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.46410] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.47023] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.47033] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.47544] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.47561] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.48006] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.48016] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.48470] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.48481] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.49209] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.49219] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.49662] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.49673] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.50114] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.50128] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.50576] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.50589] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.51262] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.51272] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.51713] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.51724] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.52171] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.52181] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.52681] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.52694] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.53330] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.53340] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.53781] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.53791] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.68520] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.68534] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.76158] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.76175] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.77053] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.77067] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.81111] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.81125] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.81321] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.81334] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.88615] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.88629] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.89423] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.89437] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 133.98734] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 133.98745] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 134.07152] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 134.07168] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 134.15807] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 134.15817] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 134.24549] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 134.24560] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 134.33091] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 134.33100] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [ 134.34492] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [ 134.34502] _al_d3d_sync_bitmap (video) ref count == 2
